Symbol,Name,Industry,Sector,Market Cap,P/E ttm,Price/Book,ROA%,ROE%,Debt/Equity,Price/Cash Flow,Ent Value,EBITDA(a),EBIT(a),Shares Out,Net Income(a),Beta,% Insider,% Institutional,Sales(a),Float,% Float,Price/Sales,Earnings Date,Latest Earnings
KC,Kingsoft Cloud Holdings Ltd ADR,Internet - Software,Computers and Technology,4417459000,0,5.78,-5.77%,-17.59%,0.37,123.349998,4270939000,-59510000,-232550000,279586000,-269430000,2.1,14.20%,13.40%,N/L,N/L,N/L,N/L,N/L,2025-08-19
KD,Kyndryl Hldgs Inc,Technology Services,Business Services,9053228000,49.12,6.7,1.88%,15.97%,2.38,3.06,10435228000,3278000000,563000000,231422000,251000000,1.93,1.90%,71.53%,N/L,N/L,N/L,N/L,N/L,2025-08-04
KDP,Keurig Dr Pepper Inc,Beverages - Soft,Consumer Staples,45187116000,16.78,1.82,5.09%,11.05%,0.49,12.4,60151116000,4384000000,3345000000,1358194000,1441000000,0.47,0.40%,93.99%,N/L,N/L,N/L,N/L,N/L,2025-07-24
KEY,Keycorp,Banks - Major Regional,Finance,20351642000,13.6,1.19,0.82%,9.65%,0.65,13.84,33213642000,1205000000,1132000000,1095942000,-161000000,1.11,0.52%,79.69%,N/L,N/L,N/L,N/L,N/L,2025-07-22
KGC,Kinross Gold Corp,Mining - Gold,Basic Materials,19739018000,18,2.66,9.97%,15.63%,0.17,9.8,20552718000,3065000000,1917500000,1226788000,948800000,0.63,1.00%,63.69%,N/L,N/L,N/L,N/L,N/L,2025-07-30
KHC,Kraft Heinz Company,Food - Misc & Diversified,Consumer Staples,33943984000,9.63,0.69,4.06%,7.37%,0.44,7.46,52484984000,4163000000,3215000000,1183542000,2744000000,0.25,0.35%,78.17%,N/L,N/L,N/L,N/L,N/L,2025-07-30
KIDZ,Classover Holdings Inc Cl B,Technology Services,Business Services,48562000,0,N/A,0.00%,0.00%,-0.36,3.8,48452000,-740000,-740000,23689000,5270000,-0.33,29.66%,74.70%,N/L,N/L,N/L,N/L,N/L,N/A
KINS,Kingstone Cos Inc,Insurance - Proprty & Casualty,Finance,221326000,10.38,2.63,5.58%,31.92%,0.07,9.3,203826000,34340000,31420000,14008000,18360000,0.57,5.10%,14.91%,N/L,N/L,N/L,N/L,N/L,2025-08-07
KIRK,Kirkland's Inc,Retail - Home Furniture,Retail-Wholesale,33456000,0,N/A,-8.47%,0.00%,-3.01,N/A,88836000,-3200000,-13840000,22454000,-23130000,2.38,3.00%,15.38%,N/L,N/L,N/L,N/L,N/L,2025-09-04
KKR,KKR & Company LP,Finance - Investment Mgmt,Finance,135520096000,34.45,2.07,1.08%,6.43%,0.74,39.98,171384592000,26660000,145980000,890642000,3076250000,1.88,39.34%,76.26%,N/L,N/L,N/L,N/L,N/L,2025-07-31
KLAC,K L A-Tencor Corp,Electronics Products - Misc,Computers and Technology,119293280000,29.61,29.860001,26.75%,112.97%,1.47,31.02,123946288000,5330980000,4639780000,132241000,2761900000,1.42,0.12%,86.65%,N/L,N/L,N/L,N/L,N/L,2025-07-31
KLG,Wk Kellogg CO,Consumer Prdts - Misc Staple,Consumer Staples,1996126000,17.93,6.1,5.81%,34.88%,1.61,8.78,2440126000,161000000,83000000,86263000,72000000,0.23,2.20%,95.74%,N/L,N/L,N/L,N/L,N/L,2025-08-05
KMB,Kimberly-Clark Corp,Consumer Prdts - Misc Staple,Consumer Staples,42266720000,17.69,34.630001,14.40%,196.76%,5.92,13.14,48688720000,3966000000,3185000000,331816000,2545000000,0.35,0.64%,76.29%,N/L,N/L,N/L,N/L,N/L,2025-08-01
KMI,Kinder Morgan,Oil - Production & Pipeline,Oils-Energy,60862472000,23.04,1.9,3.69%,8.31%,1.02,12.24,92538472000,9233000000,6829000000,2222069000,2613000000,0.75,12.73%,62.52%,N/L,N/L,N/L,N/L,N/L,2025-07-16
KMX,Carmax Inc,Retail - Wholesale Auto Parts,Retail-Wholesale,9112372000,16.36,1.44,2.08%,9.11%,2.9,11.51,26460452000,1414390000,1119590000,150072000,500560000,1.38,1.70%,N/A,N/L,N/L,N/L,N/L,N/L,2025-06-20
KNF,Knife River Holding CO,Building & Construction - Misc,Construction,4655662000,25.71,3.28,6.17%,12.83%,0.83,13.52,5051922000,426910000,287280000,56652000,201680000,0.63,0.30%,80.11%,N/L,N/L,N/L,N/L,N/L,2025-08-05
KNSL,Kinsale Capital Group Inc,Insurance - Proprty & Casualty,Finance,11127506000,27.53,7.02,8.16%,26.89%,0.12,29.139999,11198416000,527210000,521410000,23311000,414840000,1.19,5.50%,85.36%,N/L,N/L,N/L,N/L,N/L,2025-07-24
KNX,Knight-Swift Transporation Inc,Transportation - Truck,Transportation,7266322000,34.25,1.03,1.70%,3.03%,0.24,7.64,8577682000,1871410000,1078610000,162050000,117630000,1.17,3.00%,88.77%,N/L,N/L,N/L,N/L,N/L,2025-07-23
KO,Coca-Cola Company,Beverages - Soft,Consumer Staples,297726144000,23.66,9.85,12.23%,44.91%,1.57,21.99,329921152000,12585000000,11510000000,4304267000,10631000000,0.45,0.97%,70.26%,N/L,N/L,N/L,N/L,N/L,2025-07-22
KOD,Kodiak Sciences Inc,Medical - Biomedical,Medical,466434000,0,4,-54.17%,-115.71%,0,N/A,298364000,-173150000,-199860000,52764000,-176210000,2.28,45.90%,89.06%,N/L,N/L,N/L,N/L,N/L,2025-08-13
KODK,Eastman Kodak,Electronics Products - Misc,Computers and Technology,549209000,13.92,0.98,2.90%,8.01%,0.84,4.22,1033209000,1000000,-27000000,80766000,102000000,3.73,23.87%,33.65%,N/L,N/L,N/L,N/L,N/L,2025-08-14
KOPN,Kopin Corp,Electronics Products - Misc,Computers and Technology,333736000,0,17.08,-22.85%,-87.81%,0,N/A,318526000,-13740000,-14380000,162798000,-43880000,2.85,2.80%,30.96%,N/L,N/L,N/L,N/L,N/L,2025-08-14
KOS,Kosmos Energy Ltd,International E&P,Oils-Energy,1061180000,0,0.99,-0.14%,-0.63%,2.59,1.63,3720920000,1192480000,727000000,478009000,189850000,1.44,1.99%,95.33%,N/L,N/L,N/L,N/L,N/L,2025-08-04
KPTI,Karyopharm Therapeut,Medical - Drugs,Medical,37584000,0,N/A,-35.95%,0.00%,-0.58,N/A,94104000,-114730000,-118940000,8640000,-76420000,0.24,2.98%,66.44%,N/L,N/L,N/L,N/L,N/L,2025-08-05
KR,Kroger Company,Retail - Supermarket,Retail-Wholesale,47227416000,15.94,5.37,5.82%,30.01%,2.01,6.73,59861416000,11045000000,7196000000,660893000,2665000000,0.59,0.44%,80.93%,N/L,N/L,N/L,N/L,N/L,2025-09-11
KRP,Kimbell Royalty Partners,Oil - US Royalty Trusts,Oils-Energy,1572812000,33.95,2.27,4.95%,9.69%,0.44,7.01,2093802000,318680000,181080000,106994000,12320000,0.51,5.60%,25.78%,N/L,N/L,N/L,N/L,N/L,2025-08-07
KSPI,Joint Stock Company Kaspi.Kz ADR,Financial Transaction Services,Business Services,16957500000,8.22,4.79,11.76%,64.11%,0.03,8.63,15667340000,4055590000,4055590000,199500000,2183450000,1.08,N/A,32.20%,N/L,N/L,N/L,N/L,N/L,2025-08-04
KSS,Kohl's Corp,Retail - Regional Dept Stores,Retail-Wholesale,1433017000,8.47,0.4,1.27%,4.71%,1.19,1.67,5572017000,1999000000,1256000000,112042000,109000000,1.66,1.00%,98.04%,N/L,N/L,N/L,N/L,N/L,2025-08-27
KTB,Kontoor Brands Inc,Textile - Apparel,Consumer Staples,3467562000,12.8,8.22,16.78%,71.34%,1.72,10.93,3873812000,373790000,331150000,55561000,245800000,1.12,1.70%,93.06%,N/L,N/L,N/L,N/L,N/L,2025-08-07
KTOS,Kratos Defns,Aerospace - Defense Equipment,Aerospace,9171288000,167.6,6.48,2.68%,3.85%,0.12,91.639999,9016588000,81200000,28600000,153443000,16300000,1.06,2.37%,75.92%,N/L,N/L,N/L,N/L,N/L,2025-08-06
KULR,Kulr Technology Group Inc,Electronics - Semiconductors,Computers and Technology,246390000,0,2.62,-48.50%,-56.07%,0,N/A,216570000,-17070000,-20020000,38200000,-17520000,2.15,11.21%,21.23%,N/L,N/L,N/L,N/L,N/L,2025-08-11
KVUE,Kenvue Inc,Consumer Prdts - Misc Staple,Consumer Staples,43822904000,20.45,4.29,8.04%,20.87%,0.63,15.29,49807904000,2471000000,1849000000,1918691000,1030000000,0.83,1.68%,97.64%,N/L,N/L,N/L,N/L,N/L,2025-08-07
KVYO,Klaviyo Inc Series A,Internet - Software,Computers and Technology,9812451000,3274,9.14,0.61%,0.74%,0,84.559998,8930601000,4630000,-85740000,296987000,-46140000,1.37,49.92%,45.43%,N/L,N/L,N/L,N/L,N/L,2025-08-05
KZR,Kezar Life Sciences Inc,Medical - Biomedical,Medical,31488000,0,0.32,-50.27%,-61.14%,0.09,N/A,68000,-88260000,-84520000,7306000,-83740000,0.6,10.40%,67.90%,N/L,N/L,N/L,N/L,N/L,2025-08-12
LAC,Lithium Americas Corp,Mining - Misc,Basic Materials,667660000,0,1.12,-5.18%,-6.91%,0,N/A,73770000,-32920000,-32970000,218905000,-42530000,0.69,1.11%,0.00%,N/L,N/L,N/L,N/L,N/L,2025-08-12
LAES,Sealsq Corp,Electronics - Semiconductors,Computers and Technology,312694000,0,4.09,0.00%,0.00%,0.1,N/A,236014000,-16560000,0,94185000,-21200000,-13.03,N/A,1.25%,N/L,N/L,N/L,N/L,N/L,2025-07-03
LAND,Gladstone Land Corp,REIT - Equity Trust Other,Finance,352080000,28.49,0.56,1.13%,2.14%,0.72,7.58,921270000,98560000,60400000,36185000,13290000,1.11,7.20%,53.60%,N/L,N/L,N/L,N/L,N/L,2025-08-14
LAR,Lithium Argentina Ag,Mining - Misc,Basic Materials,522937000,0,N/A,-2.08%,-2.63%,0,N/A,439707000,-49080000,-49840000,161900000,-15230000,N/A,19.80%,49.17%,N/L,N/L,N/L,N/L,N/L,2025-08-11
LAZ,Lazard Inc,Finance - Misc Services,Finance,6185215000,24.38,9.5,5.21%,35.81%,2.6,8.45,6342525000,871250000,386480000,112766000,279910000,1.33,3.86%,54.80%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LAZR,Luminar Technologies Inc,Auto - Truck Original Parts,Auto-Tires-Trucks,150013000,0,N/A,-104.61%,0.00%,-1.86,N/A,565813000,-340300000,-374890000,46879000,-273140000,1.94,11.22%,30.99%,N/L,N/L,N/L,N/L,N/L,2025-08-12
LB,Landbridge Company Llc Cl A,Oil - US Integrated,Oils-Energy,4310319000,0,6.62,0.00%,0.00%,0.61,167.300003,4654529000,80760000,70200000,76397000,-41770000,N/A,70.42%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-06
LBRDA,Liberty Broadband Corp Sr A,Cable TV,Consumer Discretionary,10041699000,13.84,1.23,5.43%,9.24%,0.38,11.54,13835699000,524000000,317000000,143330000,869000000,1,11.59%,10.29%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LBRDK,Liberty Broadband Corp Sr C,Cable TV,Consumer Discretionary,10064633000,13.86,1.24,5.43%,9.24%,0.38,11.55,13858633000,524000000,317000000,143330000,869000000,1.01,10.80%,80.22%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LBRT,Liberty Energy Inc,Oil - Field Services,Oils-Energy,2128076000,18.25,1.06,3.61%,6.06%,0.11,2.68,2298596000,1306860000,801810000,161954000,316010000,0.66,1.90%,98.22%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LBTYA,Liberty Global Ltd Ord A,Diversified Comm Services,Utilities,3466158000,0,0.27,-0.53%,-1.15%,0.73,1.22,10750857000,1798300000,731500000,345579000,1588000000,1.14,13.29%,37.20%,N/L,N/L,N/L,N/L,N/L,2025-08-01
LC,Lendingclub Corp,Finance - Misc Services,Finance,1465186000,28.02,1.1,0.52%,4.04%,0,13.06,487786000,187340000,128510000,114200000,51330000,2.44,3.19%,74.08%,N/L,N/L,N/L,N/L,N/L,2025-07-29
LCID,Lucid Group Inc,Auto - Domestic,Auto-Tires-Trucks,8906765000,0,2.86,-25.58%,-68.64%,0.63,N/A,10601885000,-2654170000,-2982840000,3050262000,-2713940000,0.78,61.26%,75.17%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LCTX,Lineage Cell Therapeutics Inc,Medical - Biomedical,Medical,258042000,0,3.38,-15.28%,-22.64%,0,N/A,212252000,-20760000,-21330000,228356000,-18610000,1.6,26.80%,62.47%,N/L,N/L,N/L,N/L,N/L,2025-08-14
LDI,Loandepot Inc Cl A,Finance - Mortgage & Rel Svs,Finance,587242000,0,1.29,-1.57%,-18.41%,11.79,N/A,5459752000,80720000,15810000,329911000,-98330000,3.33,78.05%,39.39%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LDOS,Leidos Holdings Inc,IT Services,Computers and Technology,21013376000,14.98,4.88,11.14%,32.62%,1.19,12.98,24740376000,2232000000,1942000000,128719000,1254000000,0.64,0.96%,76.12%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LEA,Lear Corp,Auto - Truck Original Parts,Auto-Tires-Trucks,5313688000,8.62,1.2,4.81%,14.53%,0.57,4.41,6996288000,1532700000,912000000,53463000,506600000,1.29,0.91%,97.04%,N/L,N/L,N/L,N/L,N/L,2025-07-25
LEGN,Legend Biotech Corp ADR,Medical - Biomedical,Medical,7967964000,0,7.98,-13.47%,-21.19%,0.3,N/A,7982414000,-197180000,-220540000,183763000,-177030000,0.19,0.02%,70.89%,N/L,N/L,N/L,N/L,N/L,2025-08-08
LEN,Lennar Corp,Building - Residential & Comm,Construction,29871278000,9.48,1.29,8.57%,12.74%,0.12,7.76,27455118000,4171610000,4055930000,259007000,3932530000,1.33,10.00%,81.10%,N/L,N/L,N/L,N/L,N/L,2025-09-18
LESL,Leslie's Inc,Consumer Prdts - Misc Staple,Consumer Staples,110530000,0,N/A,-2.44%,0.00%,-3.16,3.71,779190000,71300000,36030000,185578000,-23380000,1.28,0.40%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-06
LEU,Centrus Energy Corp,Mining - Non Ferrous,Basic Materials,4105917000,42.51,19.299999,10.39%,71.70%,2.14,48.369999,3979117000,100000000,89200000,17037000,73200000,1.45,1.00%,49.96%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LEVI,Levi Strauss & Company Cl A,Retail - Apparel & Shoes,Retail-Wholesale,8091125000,14.38,3.89,9.03%,28.74%,0.49,10,8395124000,969200000,659100000,395654000,210600000,1.15,1.25%,69.14%,N/L,N/L,N/L,N/L,N/L,2025-07-10
LFMD,Lifemd Inc,Medical Services,Medical,485839000,0,N/A,-15.19%,0.00%,-47.26,N/A,469169000,2450000,-7440000,45448000,-18880000,2.4,18.40%,35.52%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LFST,Lifestance Health Group Inc,Medical - Outpatient & Hm Care,Medical,1609947000,0,1.1,-1.69%,-2.47%,0.19,104.400002,1735167000,121520000,48900000,388876000,-57440000,1.16,3.20%,85.50%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LH,Laboratory Corp of America Holdings,Medical Services,Medical,22177148000,17.68,2.64,7.02%,15.45%,0.67,11.95,26003948000,2003600000,1360100000,83700000,746000000,0.82,0.84%,95.94%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LHX,L3Harris Technologies Inc,Aerospace - Defense,Aerospace,50340816000,22.77,2.65,5.47%,11.82%,0.61,13.54,61446816000,3430000000,2103000000,186946000,1502000000,0.75,0.72%,84.76%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LI,Li Auto Inc ADR,Auto - Foreign,Auto-Tires-Trucks,30973512000,28.18,3.11,5.19%,11.83%,0.12,20.4,23099422000,1498990000,1080060000,1047110000,1100430000,0.95,48.50%,9.88%,N/L,N/L,N/L,N/L,N/L,2025-08-27
LIF,Life360 Inc,Protection - Safety,Industrial Products,5878192000,502.27,15.3,3.28%,4.05%,0,824.590027,5718952000,11980000,600000,76529000,-4560000,N/A,8.00%,20.00%,N/L,N/L,N/L,N/L,N/L,2025-08-14
LII,Lennox International,Building Prdcts - Air Heating,Construction,23210642000,28.31,25.92,24.12%,99.81%,1.35,26.200001,23943142000,1118700000,1023600000,35124000,806900000,1.13,9.73%,67.07%,N/L,N/L,N/L,N/L,N/L,2025-07-23
LIN,Linde Plc,Chemical - Specialty,Basic Materials,222600672000,30.01,5.63,9.26%,18.95%,0.61,19.950001,239386672000,16245000000,12465000000,470724000,6565000000,0.96,0.70%,82.80%,N/L,N/L,N/L,N/L,N/L,2025-08-01
LINE,Lineage Inc,REIT - Equity Trust Other,Finance,9966524000,12.61,1.03,-3.34%,-7.24%,0.54,42.700001,14796524000,1366100000,471100000,228590000,-686000000,N/A,71.90%,N/A,N/L,N/L,N/L,N/L,N/L,2025-08-06
LITE,Lumentum Holdings,Communications Components,Computers and Technology,7253688000,0,8.12,-1.98%,-8.69%,2.93,27.469999,6816988000,8100000,-305100000,69400000,-546500000,1.34,0.19%,94.05%,N/L,N/L,N/L,N/L,N/L,2025-08-12
LKQ,LKQ Corp,Auto - Truck Replacement Parts,Auto-Tires-Trucks,8304621000,9.5,1.25,5.60%,13.85%,0.71,6.23,12235621000,1965000000,1559000000,258148000,690000000,0.95,0.55%,95.63%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LLY,Eli Lilly and Company,Large Cap Pharma,Medical,770215616000,58.53,48.169998,15.74%,85.51%,2.18,56.580002,795474304000,15851700000,14085100000,947736000,10590000000,0.4,0.13%,82.53%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LMB,Limbach Holdings Inc,Building - Maint & Service,Construction,1555890000,36.87,9.02,12.39%,27.66%,0.17,25.549999,1537750000,57430000,45500000,11625000,30880000,1.19,9.70%,55.85%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LMND,Lemonade Inc,Insurance - Multi Line,Finance,2929175000,0,5.45,-12.00%,-36.72%,0.19,N/A,2626875000,-206200000,-220100000,73266000,-202200000,2.2,14.70%,80.30%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LMT,Lockheed Martin Corp,Aerospace - Defense,Aerospace,98328464000,14.46,18.41,12.13%,107.60%,3.04,11.83,116115464000,8915000000,7356000000,233465000,5336000000,0.28,0.14%,74.19%,N/L,N/L,N/L,N/L,N/L,2025-07-22
LNC,Lincoln National Corp,Insurance - Life,Finance,5945238000,4.69,0.82,0.35%,18.71%,0.72,4.51,7286238000,1842000000,1880000000,170693000,3275000000,1.39,0.51%,72.81%,N/L,N/L,N/L,N/L,N/L,2025-07-31
LNG,Cheniere Energy,Oil - US Exploration & Product,Oils-Energy,49983684000,16.52,5.01,7.18%,32.63%,2.25,11.22,69705680000,8427000000,7165000000,221785000,3252000000,0.42,0.26%,87.26%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LNTH,Lantheus Holdings,Medical Products,Medical,5045735000,12.38,4.17,20.55%,36.99%,0.49,10,4699175000,521330000,452410000,69186000,312440000,0.12,1.50%,99.06%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LNZA,Lanzatech Global Inc,Technology Services,Business Services,135096000,0,N/A,-72.17%,-562.88%,0,N/A,91596000,-104270000,-109010000,231965000,-137730000,1.71,4.50%,17.76%,N/L,N/L,N/L,N/L,N/L,2025-08-14
LODE,Comstock Inc,Mining - Gold,Basic Materials,118643000,0,1.67,-44.80%,-70.14%,0.43,N/A,126183000,-27000000,-30970000,32416000,-53320000,1.57,4.50%,7.96%,N/L,N/L,N/L,N/L,N/L,2025-08-14
LOGI,Logitech Int S.A.,Computers - Peripheral Equpt,Computers and Technology,15304175000,22.36,7.12,17.89%,30.40%,0,20.219999,13800965000,745300000,665540000,158150000,631530000,0.96,0.16%,45.76%,N/L,N/L,N/L,N/L,N/L,2025-07-29
LOOP,Loop Industries Inc,Technology Services,Business Services,64896000,0,N/A,-36.84%,-354.97%,-1.18,N/A,65656000,-2310000,-2830000,47718000,-15060000,1.78,45.90%,4.89%,N/L,N/L,N/L,N/L,N/L,2025-07-21
LOW,Lowe's Companies,Retail - Home Furniture,Retail-Wholesale,127107344000,19.05,N/A,15.07%,-49.12%,-2.62,14.48,160833344000,14026000000,12054000000,560438000,6957000000,0.9,0.27%,74.06%,N/L,N/L,N/L,N/L,N/L,2025-08-20
LPG,Dorian Lpg Ltd,Transportation - Ship,Transportation,1235939000,12.9,1.21,5.21%,8.88%,0.53,7.58,1472329000,253060000,182240000,42648000,90170000,0.77,13.40%,62.50%,N/L,N/L,N/L,N/L,N/L,2025-08-01
LPLA,Lpl Financial Holdings,Finance - Investment Brokers,Finance,30394076000,21.6,9.57,10.36%,46.34%,1.82,16.59,33204746000,2673930000,2218850000,79976000,1058620000,0.64,1.30%,95.66%,N/L,N/L,N/L,N/L,N/L,2025-07-31
LPRO,Open Lending Corp Cl A,Finance - Consumer Loans,Finance,316227000,0,3.87,-15.48%,-35.88%,1.63,N/A,194527000,-69840000,-71940000,119783000,-135010000,1.93,13.20%,78.06%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LPSN,Liveperson Inc,Internet - Services,Computers and Technology,95727000,0,N/A,-5.01%,0.00%,0,0.74,-87513000,99670000,-54540000,93850000,-134270000,1.62,2.00%,79.83%,N/L,N/L,N/L,N/L,N/L,2025-07-30
LPX,Louisiana-Pacific Corp,Building Products - Wood,Construction,6251875000,15.77,3.64,15.50%,23.75%,0.21,11.4,6259875000,633000000,507000000,69589000,420000000,1.84,1.42%,94.73%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LQDA,Liquidia Corp,Medical - Biomedical,Medical,1675506000,0,32.259998,-60.15%,-177.91%,2.83,N/A,1614416000,-125730000,-127930000,85485000,-130390000,-0.01,26.50%,64.54%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LRCX,Lam Research Corp,Electronics - Semiconductors,Computers and Technology,124023280000,26.98,13.15,24.07%,53.21%,0.47,29.34,123158752000,5646100000,5286400000,1279118000,3827770000,1.68,0.29%,84.61%,N/L,N/L,N/L,N/L,N/L,2025-07-30
LRMR,Larimar Therapeutics Inc,Medical - Drugs,Medical,248429000,0,1.66,-46.08%,-52.48%,0,N/A,215209000,-110280000,-105340000,64028000,-80600000,0.86,4.50%,91.92%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LRN,Stride Inc,Schools,Consumer Discretionary,5655378000,20.16,3.97,14.66%,23.36%,0.29,17.709999,5569448000,488230000,376910000,43523000,204180000,0.32,3.00%,98.24%,N/L,N/L,N/L,N/L,N/L,2025-08-05
LSCC,Lattice Semicond,Electronics - Semiconductors,Computers and Technology,7396555000,111.17,10.16,7.78%,9.24%,0,57.110001,7260265000,72860000,26590000,137508000,61130000,1.52,1.80%,98.08%,N/L,N/L,N/L,N/L,N/L,2025-08-04
LSPD,Lightspeed Commerce Inc,Internet - Software,Computers and Technology,1880828000,119.27,1.15,0.73%,0.79%,0,16.860001,1322358000,-494010000,-595000000,137387000,-667200000,2.48,N/A,68.68%,N/L,N/L,N/L,N/L,N/L,2025-07-31
LTBR,Lightbridge Corp,Other Alt Energy,Oils-Energy,339200000,0,5.45,-35.50%,-36.31%,0,N/A,299210000,-15020000,-15020000,22981000,-11790000,1.77,6.50%,9.14%,N/L,N/L,N/L,N/L,N/L,2025-07-30
LU,Lufax Holding Ltd ADR,Finance - Misc Services,Finance,2548066000,0,0.24,0.00%,0.00%,0.48,9.12,863576000,1620910000,1535260000,866689000,125310000,0.69,N/A,69.14%,N/L,N/L,N/L,N/L,N/L,2025-08-20
LULU,Lululemon Athletica,Textile - Apparel,Consumer Staples,26297588000,14.82,6.11,25.05%,43.48%,0,11.73,24313248000,2962580000,2516060000,119845000,1814620000,1.17,0.54%,85.20%,N/L,N/L,N/L,N/L,N/L,2025-09-04
LUMN,Lumen Technologies Inc,Diversified Comm Services,Utilities,4442181000,0,15.65,-0.87%,-75.08%,61.12,1.63,20459180000,6399000000,3443000000,1025908000,-55000000,1.39,2.30%,66.19%,N/L,N/L,N/L,N/L,N/L,2025-07-31
LUNR,Intuitive Machines Inc,Aerospace - Defense,Aerospace,2290075000,0,N/A,-6.29%,0.00%,0,138.550003,2080425000,-58140000,-60000000,178633000,-283410000,1.41,39.75%,72.21%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LUV,Southwest Airlines Company,Transportation - Airline,Transportation,18925250000,32.93,2.37,1.83%,6.27%,0.71,8.85,18115250000,3793000000,2136000000,569866000,465000000,1.21,0.79%,80.82%,N/L,N/L,N/L,N/L,N/L,2025-07-23
LVS,Las Vegas Sands,Gaming,Consumer Discretionary,37034372000,21.52,11.83,7.96%,51.16%,4.57,11.89,47136372000,5128000000,3703000000,706628000,1446000000,1.03,1.20%,39.16%,N/L,N/L,N/L,N/L,N/L,2025-07-23
LVWR,Livewire Group Inc,Auto - Domestic,Auto-Tires-Trucks,861084000,0,9.4,-54.32%,-70.38%,0,N/A,796644000,-90570000,-100610000,203566000,-93930000,1.71,2.05%,0.88%,N/L,N/L,N/L,N/L,N/L,2025-07-30
LW,Lamb Weston Holdings Inc,Food - Misc & Diversified,Consumer Staples,8477859000,17.44,4.76,6.43%,27.99%,2.6,9.33,12229859000,998600000,691800000,139301000,725500000,0.46,0.72%,89.56%,N/L,N/L,N/L,N/L,N/L,2025-07-23
LWLG,Lightwave Logic Inc,Chemical - Plastics,Basic Materials,330108000,0,10.58,-57.29%,-64.30%,0,N/A,302438000,-19830000,-22150000,125041000,-22540000,2.28,4.20%,27.04%,N/L,N/L,N/L,N/L,N/L,2025-08-08
LX,Lexinfintech Holdings Ltd ADR,Finance - Consumer Loans,Finance,1171118000,6.83,0.79,5.88%,12.52%,0.48,7.35,1345968000,316190000,301120000,168264000,150760000,0.41,27.80%,0.00%,N/L,N/L,N/L,N/L,N/L,2025-08-26
LXRX,Lexicon Pharmaceutcl,Medical - Biomedical,Medical,397641000,0,3.32,-54.95%,-103.16%,0.82,N/A,431281000,-175080000,-177460000,361492000,-200400000,1.13,13.90%,74.70%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LYB,Lyondellbasell Industries NV,Chemical - Diversified,Basic Materials,20572814000,11.67,1.6,4.71%,13.19%,0.92,5.42,28447814000,2760000000,1227000000,321400000,1367000000,0.82,0.14%,71.20%,N/L,N/L,N/L,N/L,N/L,2025-08-01
LYEL,Lyell Immunopharma Inc,Medical - Drugs,Medical,183915000,0,0.46,-60.99%,-73.66%,0,N/A,78315000,-268420000,-273370000,14808000,-342990000,-0.24,22.30%,66.05%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LYFT,Lyft Inc Cl A,Internet - Services,Computers and Technology,5977529000,68.48,7.17,1.50%,11.28%,0.66,55.009998,5784179000,-21330000,-84820000,418009000,22780000,2.2,3.07%,83.07%,N/L,N/L,N/L,N/L,N/L,2025-08-06
LYG,Lloyds Banking Group Plc ADR,Banks - Foreign,Finance,64828272000,10.6,1.07,0.48%,9.40%,1.62,6.84,88109056000,2643760000,-1734330000,15006543000,5649600000,0.99,0.01%,2.15%,N/L,N/L,N/L,N/L,N/L,2025-07-24
LYV,Live Nation Entertainment,Movie & TV Production & Dist,Consumer Discretionary,35475024000,52.18,44.419998,4.77%,125.77%,8.03,22.879999,36933284000,2199000000,1542570000,231772000,896290000,1.45,3.01%,74.52%,N/L,N/L,N/L,N/L,N/L,2025-08-07
LZB,La-Z-Boy Inc,Furniture,Consumer Discretionary,1580401000,12.97,1.52,6.40%,12.08%,0,5.85,1251951000,300630000,156420000,41167000,99560000,1.26,1.70%,99.62%,N/L,N/L,N/L,N/L,N/L,2025-08-19
M,Macy's Inc,Retail - Regional Dept Stores,Retail-Wholesale,3551744000,5.02,0.79,4.35%,16.34%,0.62,2.15,5024744000,1770000000,878000000,271540000,582000000,1.71,1.09%,87.36%,N/L,N/L,N/L,N/L,N/L,2025-08-20
